ID,Sentence,Sentiment,dialect
926,و انتشاره الكبير، خاصة اللي قريب من الأماكن المعروفة,positive,Darija
2025,و لما قررت نلغي الحجز، قالو ليا خاصني نخلص لليوم الواحد حيت أنا حجز ليالي.,negative,Darija
1645,الخدمة كانت رائعة، كل الموظفين كانو محتاجين لتحييتهم. التراس ديال الشمس و غيرها، إيروفوشي ريزورت آند سبا فمالديف، كايعطي كلشي خاصك تسترخي.,positive,Darija
2220,مشكل حجز، حجزت فالفندق من خلال جوولدين توليوب، و حجزت ب كريديت كارد، و وصلنا فالفندق مع التمنية ديال العشية، و كانو تعبان من الرحلة، و ما لقاوش الحجز ديالي.,negative,Darija
724,كان تجربة مميزة لي ف فندق قصر مكة رافيلز، فندق على بعد خطوات من الحرم الجامعي جناح كان مع وجهة نظر رائعة,positive,Darija
1309,ولكن بما أنه ما كاينش نشاطات ليلية مناسبة للعائلة فالأوطيل، يمكن ليكم تمشيو لمراكز تجارية قريبة من الأوطيل زي مول العرب وتقضيو وقت ممتع. كنوصي بتمشيو للفندق ومتمتعوا به مرات كثيرة.,negative,Darija
2113,و الغرفة كانت أقل نظافة من ما كان متوقع، و لم تكن أول زيارة لي، بل كانت الأخيرة، و للأسف بعد ما انتشرت التوصيات، لم يعد الفندق بيهتم بالجودة.,negative,Darija
1756,ولكن بغيت نشكر الشركة ديال الحجز اللي كنت معاها و نشكر كل العمال اللي كايهتمو بينا، ربا كانتمنا يضمنو بزاف من الفنادق و الصور اللي كاينين.,positive,Darija
83,الفطور ممتاز، والخدمة رائعة و الطاقم كايعاون.,positive,Darija
197,و فالمطعم ماكانش كايتنظفوا الأطباق، و لاقيت شي بقع فالصحن ديالي.,negative,Darija
421,و صالة رياضة، كانضن باللي هاد الفندق مناسب للعائلات و للفردين، كنصحك تجربو.,positive,Darija
2174,فالمطعم ماكاين ماكايشير إلا بالمياه المعدنية، والكوب بجنيه مصري.,neutral,Darija
1351,ماكاينش إنترنت ف الغرفة، ال واي فاي غالي بزاف، كايتو فالبولي.,negative,Darija
156,كان كلشي مزيان، خاصة الغرف اللي كايطلعو على الكعبة.,positive,Darija
1868,الفطور ما كَانش زوين، الحمام ما كَانش كايخدم مزاج مزيان، و الطاقم ما كَانش مزاج مزيان.,negative,Darija
1217,المنزلي ماشي مزيان، الغرف ماشي مزيانة.,negative,Darija
335,الخدمة مزرية، الحمام ما تمشيش لتلاتة د ليلات، و خاصك تطلب ورقة التواليت، ماشي غير فندق من تلاتة نجوم,negative,Darija
1215,البيسين مزيان، و لكن مياه البحر باردة بزاف، و هادو مزيان باش يتحسن بعد ما يدور فاليوم الحار فالمدينة أو الأماكن السياحية.,neutral,Darija
840,عافاك اهتم بالزبون، احسن تقييم، اعطيه احسن، التقييم كتعلق على ممتاز، ما عارفش ليش,neutral,Darija
2273,الحجرات ديالو نقية، ماكايبوش غير الطوابيت.,negative,Darija
2046,حتا أنا ما جريئتش ندير لولادي ياكلو غير الخبز و الحلوى الملفوفة فالفطور ديالهم فالصباح.,negative,Darija
537,عطلة ممتعة الفندق رائع من حيث الموقع الشاطئ ممتاز والبحر جميل جدا والاكوا فوق ممتاز والفريق كايعاون,positive,Darija
2021,فندق مزيان، كنت فيه يومين، و كان مزيان بزاف.,negative,Darija
2276,الناس كايجيبو الصوت و كايخرجو و كايدخلو فالليل، كايحرمو من كل التكاليف.,negative,Darija
1982,الديار كايكروخو، و كاينين الجرذان فالمطبخ، و التمن كايزود.,negative,Darija
1913,هاد الفندق مزيان، الخدمة فيه مزيانة، حتى أنا راجعتو منه نهار، و كانو فيه حشرات و صراصير و صراصير.,negative,Darija
1324,ولكن رايت بلي التأمين ديال الفيزا غالي بزاف.,negative,Darija
